Path,# vertices,# edges,# paths,# path constr,# unique path constr,path time,# cycles,# cycles constr,# unique cycle constr,cycle time,gurobi time,duration time
..\DataSets\DelayGraph_219.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_220.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_221.graphml,8,6,2,0,0,1.0001659393310547,0,0,0,0.0,0.0,1.0001659393310547,
..\DataSets\DelayGraph_222.graphml,8,6,2,0,0,0.9999275207519531,0,0,0,0.0,0.0,0.9999275207519531,
..\DataSets\DelayGraph_223.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_224.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_225.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_226.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_227.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_228.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_229.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_230.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_231.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_232.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_233.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_234.graphml,8,6,2,0,0,0.0,0,0,0,0.9999275207519531,0.0,0.9999275207519531,
..\DataSets\DelayGraph_235.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_236.graphml,8,6,2,0,0,0.0,0,0,0,1.0001659393310547,0.0,1.0001659393310547,
..\DataSets\DelayGraph_237.graphml,8,6,2,0,0,0.9999275207519531,0,0,0,0.0,0.0,0.9999275207519531,
..\DataSets\DelayGraph_238.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_239.graphml,131,141,23,0,0,2.000093460083008,0,0,0,10.999917984008789,0.0,13.000011444091797,
..\DataSets\DelayGraph_240.graphml,131,141,23,0,0,1.0001659393310547,0,0,0,11.999845504760742,0.0,13.000011444091797,
..\DataSets\DelayGraph_241.graphml,90,105,117,0,0,5.000114440917969,1,1,1,6.999969482421875,7.999897003173828,19.999980926513672,
..\DataSets\DelayGraph_242.graphml,90,105,117,0,0,6.999969482421875,1,1,1,9.999990463256836,8.00013542175293,25.00009536743164,
..\DataSets\DelayGraph_243.graphml,111,125,79,0,0,4.999876022338867,3,3,3,11.00015640258789,19.999980926513672,36.00001335144043,
..\DataSets\DelayGraph_246.graphml,171,201,2762,0,0,214.00022506713867,10,10,10,26.999950408935547,203.99999618530273,445.00017166137695,
..\DataSets\DelayGraph_250.graphml,118,138,677,0,0,49.00002479553223,5,5,5,16.99995994567871,49.99995231628418,115.99993705749512,
..\DataSets\DelayGraph_252.graphml,113,133,461,0,0,26.999950408935547,12,12,12,13.000011444091797,39.999961853027344,79.99992370605469,
..\DataSets\DelayGraph_254.graphml,218,261,8685,0,0,771.0001468658447,24,24,24,39.999961853027344,1305.0000667572021,2116.000175476074,
..\DataSets\DelayGraph_257.graphml,61,69,80,0,0,3.999948501586914,6,6,6,4.999876022338867,9.000062942504883,17.999887466430664,
..\DataSets\DelayGraph_258.graphml,111,125,79,0,0,5.000114440917969,3,3,3,10.999917984008789,14.000177383422852,30.00020980834961,
..\DataSets\DelayGraph_259.graphml,175,202,452,0,0,31.000137329101562,3,3,3,26.999950408935547,397.0000743865967,455.0001621246338,
..\DataSets\DelayGraph_260.graphml,175,202,452,0,0,36.00001335144043,3,3,3,28.0001163482666,364.0000820159912,428.00021171569824,
..\DataSets\DelayGraph_261.graphml,83,86,54,2,2,0.9999275207519531,0,0,0,9.000062942504883,6.000041961669922,16.000032424926758,
..\DataSets\DelayGraph_263.graphml,145,167,801,986,290,68.00007820129395,5,5,5,21.000146865844727,162.99986839294434,252.000093460083,
..\DataSets\DelayGraph_268.graphml,128,150,96,0,0,5.000114440917969,11,7,7,13.000011444091797,8.999824523925781,26.999950408935547,
..\DataSets\DelayGraph_270.graphml,83,86,54,2,2,1.0001659393310547,0,0,0,10.999917984008789,6.000041961669922,18.000125885009766,
..\DataSets\DelayGraph_271.graphml,48,51,19,14,2,1.0001659393310547,0,0,0,3.999948501586914,5.000114440917969,10.000228881835938,
..\DataSets\DelayGraph_272.graphml,145,167,801,0,0,59.00001525878906,5,5,5,20.999908447265625,56.999921798706055,136.99984550476074,
..\DataSets\DelayGraph_274.graphml,145,167,801,0,0,52.99997329711914,5,5,5,25.00009536743164,55.00006675720215,133.00013542175293,
