GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1139.graphml,110,110,0,23340,25000,1660,3.00002098083496,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1140.graphml,160,5120,17,21138,25000,3862,24.9998569488525,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1141.graphml,8,40,32,10,2500,2490,17.0001983642578,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1142.graphml,8,40,32,10,2500,2490,16.9999599456787,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1143.graphml,12,12,128,239,2500,2261,15.0001049041748,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1144.graphml,12,12,128,239,2500,2261,13.9999389648438,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1145.graphml,8,8,8,500,2500,2000,5.00011444091797, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1146.graphml,8,8,8,500,2500,2000,4.00018692016602, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1147.graphml,0,0,0,1007,5000,3993,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1148.graphml,0,0,0,1415,2500,1085,2.00009346008301,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1149.graphml,0,0,0,1415,2500,1085,0.999927520751953,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1150.graphml,9,10,160,53,2500,2447,115.999937057495,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1151.graphml,48,58,0,4013,5000,987,19.9999809265137,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1152.graphml,48,58,0,4013,5000,987,21.0001468658447,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1153.graphml,36,36,96,80,2857,2777,220.999956130981,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1154.graphml,5,13,224,26,2857,2831,36.9999408721924, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1155.graphml,5,13,224,26,2857,2831,35.0000858306885, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1156.graphml,1944,7812,32,13,2500,2487,6.99996948242188,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1157.graphml,36,72,0,41,2500,2459,41.9998168945313,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1158.graphml,36,72,0,41,2500,2459,27.9998779296875,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1159.graphml,36,72,0,41,2500,2459,29.0000438690186,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_116.graphml,256,512,41,11772,20000,8228,1420.00007629395,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1160.graphml,5,5,0,696,2500,1804,2.00009346008301,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1161.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1162.graphml,20,52,1640,62,2500,2438,39.9999618530273,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1163.graphml,10,50,4753,196,2500,2304,127.000093460083,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1164.graphml,10,50,4753,196,2500,2304,105.000257492065,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1165.graphml,9,27,0,549,2500,1951,5.00011444091797,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1166.graphml,0,0,0,1915,2500,585,8.00013542175293,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1167.graphml,0,0,0,1915,2500,585,9.00006294250488,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1172.graphml,48,192,3015,38,2500,2462,698.999881744385, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1177.graphml,62,94,137,122,2500,2378,301.000118255615, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1178.graphml,44,44,71,1300,2500,1200,18.0001258850098, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1183.graphml,60,60,36,94,2500,2406,8.99982452392578,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1184.graphml,24,52,64,821,5000,4179,2292.00005531311,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1185.graphml,24,52,64,821,5000,4179,2391.00003242493,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1186.graphml,0,55,0,798,5000,4202,11.9998455047607,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1187.graphml,0,55,0,798,5000,4202,8.99982452392578,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1188.graphml,0,3,0,1422,10000,8578,1.99985504150391,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1189.graphml,0,3,0,1422,10000,8578,1.99985504150391,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_119.graphml,0,0,0,25000,25000,0,1.00016593933105,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1190.graphml,31,249,183,79,2500,2421,34.9998474121094,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1191.graphml,7,63,299,62,2500,2438,58.0000877380371, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1192.graphml,7,63,299,62,2500,2438,54.999828338623, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1193.graphml,7,63,299,62,2500,2438,50.0001907348633, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1194.graphml,19,54,176,116,2857,2741,48.9997863769531,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1195.graphml,4,8,32,6204,10000,3796,6.99996948242188, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1196.graphml,0,2,49,0,1388,1388,10.0002288818359,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1197.graphml,0,2,49,0,1388,1388,10.0002288818359,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1198.graphml,0,0,0,25000,25000,0,0.999927520751953,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1199.graphml,5,170,49,40,2500,2460,214.999914169312,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_120.graphml,0,0,0,25000,25000,0,1.00016593933105,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1200.graphml,5,144,20,45,2500,2455,707.99994468689,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1201.graphml,5,170,20,45,2500,2455,360.999822616577,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1202.graphml,5,170,49,40,2500,2460,202.000141143799,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1203.graphml,12,24,245,144,2500,2356,32.0000648498535, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1204.graphml,3,6,0,486,2500,2014,134.999990463257,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1205.graphml,3,6,0,486,2500,2014,132.999897003174,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1206.graphml,135,165,336,461,2500,2039,179.00013923645, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1207.graphml,0,0,0,2040,2500,460,14.9998664855957,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1208.graphml,0,0,0,2040,2500,460,15.0001049041748,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1209.graphml,0,0,0,4682,5000,318,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_121.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1210.graphml,0,0,0,4682,5000,318,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1211.graphml,256,288,270,43,2500,2457,1863.99984359741,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1212.graphml,256,288,272,322,2500,2178,1872.99990653992,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1216.graphml,10,10,33,23188,25000,1812,11.0001564025879,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1217.graphml,17,33,133,22161,25000,2839,75.9999752044678,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_122.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1220.graphml,9,33,333,22165,25000,2835,2128.99994850159,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1223.graphml,33,33,33,22490,25000,2510,19.0000534057617,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1225.graphml,114000,354000,321,896,25000,24104,49.9999523162842,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1226.graphml,70,77,1,21940,25000,3060,12.0000839233398,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1227.graphml,70,77,1,22272,25000,2728,14.0001773834229,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1228.graphml,4,4,72,5751,10000,4249,18.9998149871826, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1229.graphml,16,52,130,1083,5000,3917,69.9999332427979, 
