GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1232.graphml,8,28,196,1412,5000,3588,2.0188,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1233.graphml,4,8,96,450,5000,4550,0.4482,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1234.graphml,4,8,264,1194,5000,3806,5.4687,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1235.graphml,4,8,96,450,5000,4550,0.4434,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1236.graphml,16,16,7,2196,5000,2804,0.4807,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1237.graphml,16,16,7,2196,5000,2804,0.4798,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1238.graphml,16,32,68,5552,10000,4448,1.3097,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1239.graphml,4,6,153,119,10000,9881,0.74,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_124.graphml,0,0,0,25000,25000,0,0.0688,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1240.graphml,2,2,68,450,10000,9550,0.5943, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1241.graphml,2,2,68,450,10000,9550,0.5612, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1243.graphml,0,2,0,1624,2500,876,0.2283,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1244.graphml,0,0,0,2500,2500,0,0.0363,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1245.graphml,0,0,0,2500,2500,0,0.0549,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1246.graphml,0,0,0,2500,2500,0,0.021,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1247.graphml,0,21,96,459,2500,2041,0.2866, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1248.graphml,0,21,96,459,2500,2041,0.3127, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_125.graphml,0,0,0,25000,25000,0,0.0474,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1254.graphml,4096,10240,1113,526,5000,4474,3.494, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1257.graphml,1944,14592,1023,170,2500,2330,0.786, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_126.graphml,0,0,0,25000,25000,0,0.0615,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1260.graphml,24,180,3272,38,2500,2462,9.2788, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1264.graphml,31,34,124,182,2500,2318,1.5936,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1267.graphml,18,18,18,173,2500,2327,0.5315,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_127.graphml,0,0,0,25000,25000,0,0.091,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1271.graphml,8,84,365,382,5000,4618,0.2025, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1272.graphml,0,18,0,751,5000,4249,0.3785,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1276.graphml,36,72,77,243,5000,4757,1.3355, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1277.graphml,0,18,0,751,5000,4249,0.38,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1278.graphml,420,1264,96,869,5000,4131,0.3449,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1279.graphml,0,3,5376,20,5000,4980,32.0841,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_128.graphml,0,0,0,25000,25000,0,0.0465,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1280.graphml,0,3,5376,20,5000,4980,29.8839,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1281.graphml,20,85,732,61,2500,2439,1.9145, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1282.graphml,10,45,268,61,2500,2439,2.7375, 
