GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1159.graphml,36,144,66,750,2500,1750,0.1144, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_116.graphml,512,900,912,15994,20000,4006,1.0416, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1160.graphml,10,12,98,861,2500,1639,0.0651, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1161.graphml,0,0,0,2500,2500,0,0.0186,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1162.graphml,30,111,10497,62,2500,2438,0.414, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1163.graphml,30,101,19227,62,2500,2438,0.4858, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1164.graphml,30,101,19227,62,2500,2438,0.4888, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1165.graphml,18,37,1440,549,2500,1951,0.0627, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1166.graphml,0,1,720,1915,2500,585,0.1216, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1167.graphml,0,1,720,1915,2500,585,0.1228, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1172.graphml,24,204,6836,38,2500,2462,1.0025, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1177.graphml,124,159,451,511,2500,1989,0.1652, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1178.graphml,110,110,214,1029,2500,1471,0.0609, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1183.graphml,60,60,496,94,2500,2406,0.1141, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1184.graphml,27,56,2516,1176,5000,3824,0.5347, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1185.graphml,27,56,2516,1176,5000,3824,0.5224, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1186.graphml,0,55,0,798,5000,4202,0.0721,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1187.graphml,0,55,0,798,5000,4202,0.0546,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1188.graphml,0,3,0,1422,10000,8578,0.0489,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1189.graphml,0,3,0,1422,10000,8578,0.0706,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_119.graphml,0,0,0,25000,25000,0,0.0357,*
