GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1195.graphml,4,8,32,6204,10000,3796,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1196.graphml,0,2,49,0,1388,1388,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1197.graphml,0,2,49,0,1388,1388,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1198.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1199.graphml,5,170,48,40,2500,2460,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_120.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1200.graphml,5,144,20,45,2500,2455,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1201.graphml,5,170,20,45,2500,2455,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1202.graphml,5,170,48,40,2500,2460,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1203.graphml,6,24,50,144,2500,2356,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1204.graphml,3,6,0,486,2500,2014,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1205.graphml,3,6,0,486,2500,2014,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1206.graphml,135,135,236,261,2500,2239,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1207.graphml,0,0,0,2040,2500,460,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1208.graphml,0,0,0,2040,2500,460,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1209.graphml,0,0,0,4682,5000,318,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_121.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1210.graphml,0,0,0,4682,5000,318,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1211.graphml,256,288,159,128,2500,2372,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1212.graphml,256,288,159,43,2500,2457,0,**
