GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1203.graphml,6,24,114,473,2500,2027,1.388, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1204.graphml,3,6,0,486,2500,2014,7.7457,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1205.graphml,3,6,0,486,2500,2014,7.6841,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1206.graphml,135,136,749,100,2500,2400,1.4688, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1207.graphml,0,0,0,2040,2500,460,1.0016,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1208.graphml,0,0,0,2040,2500,460,1.0031,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1209.graphml,0,0,0,4682,5000,318,0.1246,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_121.graphml,0,0,0,25000,25000,0,0.0435,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1210.graphml,0,0,0,4682,5000,318,0.1315,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1211.graphml,288,320,553,43,2500,2457,15.1304, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1212.graphml,288,320,576,272,2500,2228,15.9121, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1216.graphml,10,10,33,23188,25000,1812,0.5549,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1217.graphml,17,33,133,22161,25000,2839,0.9412,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_122.graphml,0,0,0,25000,25000,0,0.0459,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1220.graphml,9,33,333,22161,25000,2839,1.7263,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1223.graphml,33,33,33,22490,25000,2510,0.8715,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1225.graphml,114000,354000,321,567,25000,24433,2.0772,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1226.graphml,70,77,1,21940,25000,3060,0.7787,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1227.graphml,70,77,1,22272,25000,2728,0.7237,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1228.graphml,4,4,72,6016,10000,3984,0.9878,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1229.graphml,16,52,98,1412,5000,3588,0.9451,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_123.graphml,0,0,0,25000,25000,0,0.0429,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1230.graphml,0,3,384,629,5000,4371,3.8189, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1231.graphml,2,6,128,587,5000,4413,1.0037,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1232.graphml,8,28,196,1412,5000,3588,2.4351,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1233.graphml,4,8,96,450,5000,4550,0.4299,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1234.graphml,4,8,264,1194,5000,3806,4.607,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1235.graphml,4,8,96,450,5000,4550,0.4107,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1236.graphml,16,16,7,2196,5000,2804,0.5155,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1237.graphml,16,16,7,2196,5000,2804,0.5107,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1238.graphml,16,32,68,5552,10000,4448,1.001,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1239.graphml,4,6,153,119,10000,9881,0.7583, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_124.graphml,0,0,0,25000,25000,0,0.0387,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1240.graphml,2,2,68,450,10000,9550,0.481, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1241.graphml,2,2,68,450,10000,9550,0.5011, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1243.graphml,0,2,0,1624,2500,876,0.1442,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1244.graphml,0,0,0,2500,2500,0,0.0222,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1245.graphml,0,0,0,2500,2500,0,0.0207,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1246.graphml,0,0,0,2500,2500,0,0.0186,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1247.graphml,0,21,96,459,2500,2041,0.2598, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1248.graphml,0,21,96,459,2500,2041,0.2866, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_125.graphml,0,0,0,25000,25000,0,0.0865,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1254.graphml,4096,10240,1113,526,5000,4474,23.7258, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1257.graphml,1944,14592,1023,170,2500,2330,0.8601, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_126.graphml,0,0,0,25000,25000,0,0.0588,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1260.graphml,24,180,3272,38,2500,2462,11.5421, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1264.graphml,31,34,124,182,2500,2318,1.0215,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1267.graphml,18,18,18,173,2500,2327,0.9485,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_127.graphml,0,0,0,25000,25000,0,0.0438,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1271.graphml,8,84,365,382,5000,4618,0.1967, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1272.graphml,0,18,0,751,5000,4249,0.3869,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1276.graphml,36,72,77,243,5000,4757,1.3087, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1277.graphml,0,18,0,751,5000,4249,0.3488,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1278.graphml,420,1264,96,869,5000,4131,0.319,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1279.graphml,0,3,5376,20,5000,4980,28.9727, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_128.graphml,0,0,0,25000,25000,0,0.0459,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1280.graphml,0,3,5376,20,5000,4980,38.4635, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1281.graphml,20,85,732,61,2500,2439,1.9793, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1282.graphml,10,45,268,61,2500,2439,2.9626, 
